Domain Code;Domain;Area Code;Area;Element Code;Element;Item Code;Item;Year Code;Year;Unit;Value;Flag;Flag Description
FBSH;Food Balances (old methodology and population);9;Argentina;5123;Losses;2513;Barley and products;2000;2000;1000 tonnes;22;S;Standardized data
FBSH;Food Balances (old methodology and population);9;Argentina;5123;Losses;2513;Barley and products;2001;2001;1000 tonnes;25;S;Standardized data
FBSH;Food Balances (old methodology and population);9;Argentina;5123;Losses;2513;Barley and products;2002;2002;1000 tonnes;24;S;Standardized data
FBSH;Food Balances (old methodology and population);9;Argentina;5123;Losses;2513;Barley and products;2003;2003;1000 tonnes;30;S;Standardized data
FBSH;Food Balances (old methodology and population);9;Argentina;5123;Losses;2513;Barley and products;2004;2004;1000 tonnes;27;S;Standardized data
FBSH;Food Balances (old methodology and population);9;Argentina;5123;Losses;2513;Barley and products;2005;2005;1000 tonnes;31;S;Standardized data
FBSH;Food Balances (old methodology and population);9;Argentina;5123;Losses;2513;Barley and products;2006;2006;1000 tonnes;38;S;Standardized data
FBSH;Food Balances (old methodology and population);9;Argentina;5123;Losses;2513;Barley and products;2007;2007;1000 tonnes;46;S;Standardized data
FBSH;Food Balances (old methodology and population);9;Argentina;5123;Losses;2513;Barley and products;2008;2008;1000 tonnes;20;S;Standardized data
FBSH;Food Balances (old methodology and population);9;Argentina;5123;Losses;2513;Barley and products;2009;2009;1000 tonnes;21;S;Standardized data
FBSH;Food Balances (old methodology and population);9;Argentina;5123;Losses;2513;Barley and products;2010;2010;1000 tonnes;89;S;Standardized data
FBSH;Food Balances (old methodology and population);9;Argentina;5123;Losses;2513;Barley and products;2011;2011;1000 tonnes;123;S;Standardized data
FBSH;Food Balances (old methodology and population);9;Argentina;5123;Losses;2513;Barley and products;2012;2012;1000 tonnes;155;S;Standardized data
FBSH;Food Balances (old methodology and population);9;Argentina;5123;Losses;2513;Barley and products;2013;2013;1000 tonnes;144;S;Standardized data
FBSH;Food Balances (old methodology and population);9;Argentina;5511;Production;2514;Maize and products;1998;1998;1000 tonnes;19361;S;Standardized data
FBSH;Food Balances (old methodology and population);9;Argentina;5511;Production;2514;Maize and products;1999;1999;1000 tonnes;13504;S;Standardized data
FBSH;Food Balances (old methodology and population);9;Argentina;5511;Production;2514;Maize and products;2000;2000;1000 tonnes;16781;S;Standardized data
FBSH;Food Balances (old methodology and population);9;Argentina;5511;Production;2514;Maize and products;2001;2001;1000 tonnes;15359;S;Standardized data
FBSH;Food Balances (old methodology and population);9;Argentina;5511;Production;2514;Maize and products;2002;2002;1000 tonnes;14712;S;Standardized data
FBSH;Food Balances (old methodology and population);9;Argentina;5511;Production;2514;Maize and products;2003;2003;1000 tonnes;15045;S;Standardized data
FBSH;Food Balances (old methodology and population);9;Argentina;5511;Production;2514;Maize and products;2004;2004;1000 tonnes;14951;S;Standardized data
FBSH;Food Balances (old methodology and population);9;Argentina;5511;Production;2514;Maize and products;2005;2005;1000 tonnes;20483;S;Standardized data
FBSH;Food Balances (old methodology and population);9;Argentina;5511;Production;2514;Maize and products;2006;2006;1000 tonnes;14446;S;Standardized data
FBSH;Food Balances (old methodology and population);9;Argentina;5511;Production;2514;Maize and products;2007;2007;1000 tonnes;21755;S;Standardized data
FBSH;Food Balances (old methodology and population);9;Argentina;5511;Production;2514;Maize and products;2008;2008;1000 tonnes;22017;S;Standardized data
FBSH;Food Balances (old methodology and population);9;Argentina;5511;Production;2514;Maize and products;2009;2009;1000 tonnes;13121;S;Standardized data
FBSH;Food Balances (old methodology and population);9;Argentina;5511;Production;2514;Maize and products;2010;2010;1000 tonnes;22663;S;Standardized data
FBSH;Food Balances (old methodology and population);9;Argentina;5511;Production;2514;Maize and products;2011;2011;1000 tonnes;23800;S;Standardized data
FBSH;Food Balances (old methodology and population);9;Argentina;5511;Production;2514;Maize and products;2012;2012;1000 tonnes;21197;S;Standardized data
FBSH;Food Balances (old methodology and population);9;Argentina;5511;Production;2514;Maize and products;2013;2013;1000 tonnes;32119;S;Standardized data
FBSH;Food Balances (old methodology and population);9;Argentina;5123;Losses;2514;Maize and products;1998;1998;1000 tonnes;482;S;Standardized data
FBSH;Food Balances (old methodology and population);9;Argentina;5123;Losses;2514;Maize and products;1999;1999;1000 tonnes;542;S;Standardized data
FBSH;Food Balances (old methodology and population);9;Argentina;5123;Losses;2514;Maize and products;2000;2000;1000 tonnes;545;S;Standardized data
FBSH;Food Balances (old methodology and population);9;Argentina;5123;Losses;2514;Maize and products;2001;2001;1000 tonnes;495;S;Standardized data
FBSH;Food Balances (old methodology and population);9;Argentina;5123;Losses;2514;Maize and products;2002;2002;1000 tonnes;395;S;Standardized data
FBSH;Food Balances (old methodology and population);9;Argentina;5123;Losses;2514;Maize and products;2003;2003;1000 tonnes;395;S;Standardized data
FBSH;Food Balances (old methodology and population);9;Argentina;5123;Losses;2514;Maize and products;2004;2004;1000 tonnes;295;S;Standardized data
FBSH;Food Balances (old methodology and population);9;Argentina;5123;Losses;2514;Maize and products;2005;2005;1000 tonnes;395;S;Standardized data
FBSH;Food Balances (old methodology and population);9;Argentina;5123;Losses;2514;Maize and products;2006;2006;1000 tonnes;395;S;Standardized data
FBSH;Food Balances (old methodology and population);9;Argentina;5123;Losses;2514;Maize and products;2007;2007;1000 tonnes;395;S;Standardized data
FBSH;Food Balances (old methodology and population);9;Argentina;5123;Losses;2514;Maize and products;2008;2008;1000 tonnes;395;S;Standardized data
FBSH;Food Balances (old methodology and population);9;Argentina;5123;Losses;2514;Maize and products;2009;2009;1000 tonnes;195;S;Standardized data
FBSH;Food Balances (old methodology and population);9;Argentina;5123;Losses;2514;Maize and products;2010;2010;1000 tonnes;400;S;Standardized data
FBSH;Food Balances (old methodology and population);9;Argentina;5123;Losses;2514;Maize and products;2011;2011;1000 tonnes;448;S;Standardized data
FBSH;Food Balances (old methodology and population);9;Argentina;5123;Losses;2514;Maize and products;2012;2012;1000 tonnes;450;S;Standardized data
FBSH;Food Balances (old methodology and population);9;Argentina;5123;Losses;2514;Maize and products;2013;2013;1000 tonnes;516;S;Standardized data
FBSH;Food Balances (old methodology and population);9;Argentina;5511;Production;2515;Rye and products;1998;1998;1000 tonnes;66;S;Standardized data
FBSH;Food Balances (old methodology and population);9;Argentina;5511;Production;2515;Rye and products;1999;1999;1000 tonnes;116;S;Standardized data
FBSH;Food Balances (old methodology and population);9;Argentina;5511;Production;2515;Rye and products;2000;2000;1000 tonnes;130;S;Standardized data
FBSH;Food Balances (old methodology and population);9;Argentina;5511;Production;2515;Rye and products;2001;2001;1000 tonnes;87;S;Standardized data
FBSH;Food Balances (old methodology and population);9;Argentina;5511;Production;2515;Rye and products;2002;2002;1000 tonnes;79;S;Standardized data
FBSH;Food Balances (old methodology and population);9;Argentina;5511;Production;2515;Rye and products;2003;2003;1000 tonnes;37;S;Standardized data
FBSH;Food Balances (old methodology and population);9;Argentina;5511;Production;2515;Rye and products;2004;2004;1000 tonnes;92;S;Standardized data
FBSH;Food Balances (old methodology and population);9;Argentina;5511;Production;2515;Rye and products;2005;2005;1000 tonnes;33;S;Standardized data
FBSH;Food Balances (old methodology and population);9;Argentina;5511;Production;2515;Rye and products;2006;2006;1000 tonnes;17;S;Standardized data
FBSH;Food Balances (old methodology and population);9;Argentina;5511;Production;2515;Rye and products;2007;2007;1000 tonnes;77;S;Standardized data
FBSH;Food Balances (old methodology and population);9;Argentina;5511;Production;2515;Rye and products;2008;2008;1000 tonnes;34;S;Standardized data
FBSH;Food Balances (old methodology and population);9;Argentina;5511;Production;2515;Rye and products;2009;2009;1000 tonnes;25;S;Standardized data
FBSH;Food Balances (old methodology and population);9;Argentina;5511;Production;2515;Rye and products;2010;2010;1000 tonnes;44;S;Standardized data
FBSH;Food Balances (old methodology and population);9;Argentina;5511;Production;2515;Rye and products;2011;2011;1000 tonnes;43;S;Standardized data
FBSH;Food Balances (old methodology and population);9;Argentina;5511;Production;2515;Rye and products;2012;2012;1000 tonnes;40;S;Standardized data
FBSH;Food Balances (old methodology and population);9;Argentina;5511;Production;2515;Rye and products;2013;2013;1000 tonnes;52;S;Standardized data
FBSH;Food Balances (old methodology and population);9;Argentina;5123;Losses;2515;Rye and products;1998;1998;1000 tonnes;2;S;Standardized data
FBSH;Food Balances (old methodology and population);9;Argentina;5123;Losses;2515;Rye and products;1999;1999;1000 tonnes;3;S;Standardized data
FBSH;Food Balances (old methodology and population);9;Argentina;5123;Losses;2515;Rye and products;2000;2000;1000 tonnes;3;S;Standardized data
FBSH;Food Balances (old methodology and population);9;Argentina;5123;Losses;2515;Rye and products;2001;2001;1000 tonnes;2;S;Standardized data
FBSH;Food Balances (old methodology and population);9;Argentina;5123;Losses;2515;Rye and products;2002;2002;1000 tonnes;2;S;Standardized data
FBSH;Food Balances (old methodology and population);9;Argentina;5123;Losses;2515;Rye and products;2003;2003;1000 tonnes;2;S;Standardized data
FBSH;Food Balances (old methodology and population);9;Argentina;5123;Losses;2515;Rye and products;2004;2004;1000 tonnes;2;S;Standardized data
FBSH;Food Balances (old methodology and population);9;Argentina;5123;Losses;2515;Rye and products;2005;2005;1000 tonnes;1;S;Standardized data
FBSH;Food Balances (old methodology and population);9;Argentina;5123;Losses;2515;Rye and products;2006;2006;1000 tonnes;1;S;Standardized data
FBSH;Food Balances (old methodology and population);9;Argentina;5123;Losses;2515;Rye and products;2007;2007;1000 tonnes;2;S;Standardized data
FBSH;Food Balances (old methodology and population);9;Argentina;5123;Losses;2515;Rye and products;2008;2008;1000 tonnes;1;S;Standardized data
FBSH;Food Balances (old methodology and population);9;Argentina;5123;Losses;2515;Rye and products;2009;2009;1000 tonnes;1;S;Standardized data
FBSH;Food Balances (old methodology and population);9;Argentina;5123;Losses;2515;Rye and products;2010;2010;1000 tonnes;1;S;Standardized data
FBSH;Food Balances (old methodology and population);9;Argentina;5123;Losses;2515;Rye and products;2011;2011;1000 tonnes;1;S;Standardized data
FBSH;Food Balances (old methodology and population);9;Argentina;5123;Losses;2515;Rye and products;2012;2012;1000 tonnes;1;S;Standardized data
FBSH;Food Balances (old methodology and population);9;Argentina;5123;Losses;2515;Rye and products;2013;2013;1000 tonnes;2;S;Standardized data
FBSH;Food Balances (old methodology and population);9;Argentina;5511;Production;2516;Oats;1998;1998;1000 tonnes;383;S;Standardized data
FBSH;Food Balances (old methodology and population);9;Argentina;5511;Production;2516;Oats;1999;1999;1000 tonnes;555;S;Standardized data
FBSH;Food Balances (old methodology and population);9;Argentina;5511;Production;2516;Oats;2000;2000;1000 tonnes;644;S;Standardized data
FBSH;Food Balances (old methodology and population);9;Argentina;5511;Production;2516;Oats;2001;2001;1000 tonnes;665;S;Standardized data
